Air Hong Kong,LD,AHK,AIR HONG KONG,HK,N
Aerochiapas,\N,AHP,AEROCHIAPAS,MX,N
Air Adriatic,\N,AHR,ADRIATIC,HR,N
Air Viggi San Raffaele,\N,AHS,AIRSAR,IT,N
ABC Air Hungary,\N,AHU,ABC HUNGARY,HU,N
Aeromist-Kharkiv,HT,AHW,AEROMIST,UP,N
Azerbaijan Airlines,J2,AHY,AZAL,AJ,Y
Avies,U3,AIA,AVIES,EN,Y
Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,FR,N
Alpine Air Chile,\N,AIH,ALPINE CHILE,CI,N
Air Integra,\N,AII,INTEGRA,CA,N
ABC Aerolineas,\N,AIJ,ABC AEROLINEAS,MX,N
African Airlines International Limited,\N,AIK,AFRICAN AIRLINES,KE,N
African International Airways,\N,AIN,FLY CARGO,WZ,N
Alpine Air Express,5A,AIP,ALPINE AIR,US,N
Alicante Internacional Airlines,\N,AIU,ALIA,SP,N
Aba Air,\N,ABP,BAIR,EZ,N
Airblue,ED,ABQ,PAKBLUE,PK,Y
Airmark Aviation,\N,THM,THAI AIRMARK,TH,N
Airlift International,\N,AIR,AIRLIFT,US,Y
Airest,\N,AIT, ,EN,N
Air Baffin,\N,BFF,AIR BAFFIN,CA,N
Air Bandama,\N,BDM,BANDAMA,IV,N
Air Berlin,AB,BER,AIR BERLIN,GM,Y
Air Brousse,\N,ABT,AIR BROUSSE,CA,N
Air Contractors,AG,ABR,CONTRACT,EI,N
Air Illinois,\N,AIL,AIR ILLINOIS,US,N
Air India Limited,AI,AIC,AIRINDIA,IN,Y
Air Inter Gabon,\N,AIG, ,GB,N
Air Bourbon,ZB,BUB,BOURBON,RE,Y
Air Atlanta Icelandic,CC,ABD,ATLANTA,IC,Y
Air Inuit,\N,AIE,AIR INUIT,CA,N
Air Sureste,\N,AIS,SURESTE,SP,N
Air Srpska,RB,SBK,Air Srpska,BK,N
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,FR,Y
Airvias S/A Linhas Aereas,\N,AIV,AIRVIAS,BR,N
Aero Services Executive,W4,BES,BIRD EXPRESS,FR,N
Atlantic Island Airways,\N,AIW,TARTAN,CA,N
Aircruising Australia,\N,AIX,CRUISER,AS,N
Aircrew Check and Training Australia,\N,AIY,AIRCREW,AS,N
Arkia Israel Airlines,IZ,AIZ,ARKIA,IS,Y
A J Services,\N,AJA,AYJAY SERVICES,UK,N
Aero JBR,\N,AJB,AERO JBR,MX,N
Aero Jet Express,\N,AJE,JET EXPRESS,MX,N
Avia Consult Flugbetriebs,\N,AJF,AVIACONSULT,AU,N
Ameristar Jet Charter,\N,AJI,AMERISTAR,US,N
A2 Jet Leasing,\N,AJJ,ATLANTIC JET,US,N
Allied Air,\N,AJK,BAMBI,NI,N
Air Jamaica,JM,AJM,JAMAICA,JM,Y
Air One,AP,ADH,HERON,IT,Y
Air Sahara,S2,RSH,SAHARA,IN,Y
Air Malta,KM,AMC,AIR MALTA,MT,Y
Aeroejecutivo,\N,AJO,AEROEXO,MX,N
Aero Jets Corporativos,\N,AJP,AEROJETS,MX,N
Aeroejecutivos Colombia,\N,AJS,AEROEJECUTIVOS,CO,N
Amerijet International,M6,AJT,AMERIJET,US,N
Air Jetsul,\N,AJU,AIRJETSUL,PO,N
ANA & JP Express,\N,AJV,AYJAY CARGO,JA,N
Alpha Jet International,\N,AJW,ALPHAJET,US,N
Air Japan,NQ,AJX,AIR JAPAN,JA,Y
Ajet,\N,AJY,AYJET,CY,N
Air Korea Co. Ltd.,\N,AKA,\N,KS,Y
Air Livonia,\N,LIV,LIVONIA,EN,N
Air BC,\N,ABL,AIRCOACH,CA,N
Air Fret Senegal,\N,ABN, ,SG,N
Air Jamahiriya Company,\N,LJA,AIR JAMAHIRIYA,LY,N
Aktjubavia,\N,AKB,KARAB,KZ,N
Arca Aerovias Colombianas Ltda.,\N,AKC,ARCA,CO,N
Anikay Air Company,\N,AKF,ANIKAY,KG,N
Akhal,\N,AKH,AKHAL,TX,N
Aeromilenio,\N,MNI,AEROMIL,MX,N
Aklak Air,\N,AKK,AKLAK,CA,N
Air Kiribati,4A,AKL,\N,KR,Y
Alkan Air,\N,AKN,ALKAN AIR,CA,N
Angkor Airways,\N,AKW,ANGKORWAYS,CB,N
Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,JA,N
AK Navigator LLC,\N,AKZ,ABSOLUTE,KZ,N
Aero Albatros,\N,ALB,ALBATROS,MX,N
Albion Aviation,\N,ALD,ALBION,UK,N
Aeroalas Colombia,\N,ALE,AEROALAS,CO,N
Allied Command Europe (Mobile Force),\N,ALF,ACEFORCE,BE,N
Aerotaxis Albatros,\N,BTS,AEROLINEAS ALBATROS,MX,N
American Flyers,\N,FYS,AMERICAN FLYERS,US,N
Aero Coach Aviation,\N,DFA,AERO COACH,US,N
Atlantic Southeast Airlines,\N,CAA,Chandler,US,N
ACM Air Charter,\N,BVR,BAVARIAN,GM,N
Air Logistics,\N,ALG,AIRLOG,US,N
Aerovallarta,\N,ALL,VALLARTA,MX,N
Air ALM,\N,ALM,ANTILLEAN,NT,N
Air Lincoln,\N,ALN,CHICAGO LINCOLN,US,N
America West Airlines,HP,AWE,CACTUS,US,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,US,Y
Aerotransporte de Carga Union,\N,TNO,AEROUNION,MX,N
Aero Taxis Cessna,\N,TND,TAXIS CESSNA,MX,N
Arizona Express Airlines,\N,TMP,TEMPE,US,N
Tatarstan Airlines,U9,TAK,TATARSTAN,RS,Y
Allegheny Commuter Airlines,\N,ALO,ALLEGHENY,US,Y
Alpliner AG,\N,ALP,ALPINER,SZ,N
Altair Aviation (1986),\N,ALQ,ALTAIR,CA,N
Air Luxor STP,\N,ALU,LUXORJET,TP,N
Alas de Venezuela,\N,ALV,ALVEN,VE,N
Alyeska Air Service,\N,ALY,ALYESKA,US,N
Alta Flights (Charters) Ltd.,\N,ALZ, ,CA,N
Air Sunshine,\N,RSI,AIR SUNSHINE,US,Y
ATMA,\N,AMA,ADIK,KZ,N
Aerolineas Medellin,\N,AMD,AEROLINEAS MEDELLIN,CO,N
Ameriflight,\N,AMF,AMFLIGHT,US,N
Air Libert,VD,\N,,FR,Y
Air Lithuania,TT,KLA,KAUNAS,LH,N
Air Minas Linhas A,\N,AMG,AIR MINAS,BR,N
Alan Mann Helicopters Ltd.,\N,AMH,MANN,UK,N
Air Maldives,\N,AMI,AIR MALDIVES,MV,N
Aviation Amos,\N,AMJ,AVIATION AMOS,CA,N
Amerer Air,\N,AMK,AMER AIR,AU,N
Air Malawi,QM,AML,MALAWI,MI,Y
Aeroputul International Marculesti,\N,AMM,AEROM,MD,N
Air Montenegro,\N,AMN,MONTENEGRO,MJ,N
Air Montreal (Air Holdings Inc.),\N,AMO,AIR MONTREAL,CA,N
Aero Transporte S.A. (ATSA),\N,AMP,ATSA,PE,N
Aeromedicare Ltd.,\N,AMQ,LIFELINE,UK,N
Air Sicilia,BM,\N,,IT,Y
Air Specialties Corporation,\N,AMR,AIR AM,US,N
Air Muskoka,\N,AMS,AIR MUSKOKA,CA,N
ATA Airlines,\N,AMT,AMTRAN,US,Y
Air Macau,NX,AMU,AIR MACAO,MC,Y
AMC Airlines,\N,AMV,\N,EG,Y
Air Midwest,ZV,AMW,AIR MIDWEST,US,N
Air Seychelles,HM,SEY,SEYCHELLES,SE,Y
Air Sofia,\N,SFB,AIR SOFIA,BU,N
AeroMéxico,AM,AMX,AEROMEXICO,MX,Y
Air Ambar,\N,AMY,AIR AMBAR,DR,N
Amiya Airline,\N,AMZ,AMIYA AIR,NI,N
All Nippon Airways,NH,ANA,ALL NIPPON,JA,Y
Air Navigation And Trading Co. Ltd.,\N,ANB,AIR NAV,UK,N
Anglo Cargo,\N,ANC,ANGLO,UK,N
Air Nostrum,YW,ANE,AIR NOSTRUM,SP,Y
Air Niugini,PX,ANG,NUIGINI,PP,Y
Air Arabia,G9,ABY,ARABIA,AE,Y
Air Canada,AC,ACA,AIR CANADA,CA,Y
Airport Bratsk,\N,BRP,AEROBRA,RS,N
Air Wings,\N,BSB,ARBAS,MD,N
Air Baltic,BT,BTI,AIRBALTIC,LG,Y
Alajnihah for Air Transport,\N,ANH,ALAJNIHAH,LY,N
Air Atlantic (Nig) Limited,\N,ANI,NIGALANTIC,NI,N
Air Nippon,EL,ANK,ANK AIR,JA,Y
Airnorth,TL,ANO,TOPEND,AS,Y
Aerol,\N,ANQ,ANTIOQUIA,CO,N
Andes Lineas Aereas,\N,ANS,AEROANDES,AR,N
Air North Charter - Canada,4N,ANT,AIR NORTH,CA,Y
Air Nevada,\N,ANV,AIR NEVADA,US,N
AOM French Airlines,IW,AOM,French Lines,FR,N
Air New Zealand,NZ,ANZ,NEW ZEALAND,NZ,Y
Avia Jaynar,\N,SAP,TOBOL,KZ,N
Aero Servicios Empresariales,\N,EMS,SERVIEMPRESARIAL,MX,N
AVCOM,J6,AOC,AERO AVCOM,RS,N
Aero Vodochody,\N,AOD,AERO CZECH,EZ,N
Air One Executive,\N,AOE, ,IT,N
Atair Pty Ltd.,\N,AOF,ATAIR,SF,N
Aero VIP,2D,AOG,AVIP,AR,N
Aeromundo Ejecutivo,\N,MUN,AEROMUNDO,MX,N
Aerolinea Muri,\N,MUR,MURI,MX,N
Aero Rent JSC,\N,NRO,AEROMASTER,RS,N
Aeronord-Grup,\N,NRP,AERONORD,MD,N
Aeroatlantico Colombia,\N,AOK,\N,CO,N
Angkor Airlines,\N,AOL,ANGKOR AIR,CB,N
Aero Entreprise,\N,AON,AERO ENTERPRISE,FR,N
Aeropiloto,\N,AOP,AEROPILOTO,PO,N
Aeroenlaces Nacionales,\N,VIV,AEROENLACES,MX,N
Aerovis Airlines,\N,VIZ,AEROVIZ,UP,N
Avjet International (FZE),\N,VJE,\N,AE,N
Aerovista Gulf Express,\N,VGF,VISTA GULF,AE,N
Air Vegas,6V,VGA,AIR VEGAS,US,N
Almaver,\N,VER,ALMAVER,MX,N
Afro International Ent. Limited,\N,AOR,INTER-AFRO,NI,N
Alitalia Express,XM,SMX,ALIEXPRESS,IT,Y
Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,RP,N
Air Tractor,\N,AOU,AIR TRACTOR,HR,N
Aero Vision,\N,AOV,AEROVISION,FR,N
Aerotaxi Del Valle,\N,AOX,AEROVALLE,CO,N
Air Park Aviation Ltd.,\N,APA,CAN-AM,CA,N
Aeroservicios Monterrey,\N,SVM,SERVIMONTE,MX,N
Amapola Flyg AB,\N,APF,AMAPOLA,SW,N
Air People International,\N,APG,AIR PEOPLE,TH,N
Atlantic Airlines,\N,BJK,BLACKJACK,US,N
Aerotransporte Petrolero,\N,PET,AEROPETRO,CO,N
Aero Flight,GV,ARF,Aero Fox,GM,Y
ACM Aviation,\N,BJT,BAY JET,US,N
Aircompany Barcol,\N,BKL,BARCOL,RS,N
All Charter Limited,\N,BLA,ALL CHARTER,UK,N
Aeropro,\N,APO,AEROPRO,CA,N
Aspen Aviation,\N,APQ,ASPEN BASE,US,N
Air Plan International,\N,APV,AIR PLAN,CF,N
Arrow Air,JW,APW,BIG A,US,Y
Apex Air Cargo,\N,APX,PARCEL EXPRESS,US,N
APA Internacional,\N,APY,APA INTERNACIONAL,DR,N
Aquila Air Ltd.,\N,AQL,AQUILA,CA,N
Air Queensland,\N,AQN,BUSHAIR,AS,N
Aluminum Company Of America,\N,AQO,ALCOA SHUTTLE,US,N
AirQuarius Aviation,\N,AQU,QUARIUS,SF,N
Aerodyne Charter Company,\N,AQZ,QUANZA,US,N
Arik Air,W3,ARA,ARIK AIR,NI,N
Avia Air N.V.,\N,ARB,AVIAIR,AA,N
Air Routing International Corp.,\N,ARC, ,US,N
Aerocondor,2B,ARD,AEROCONDOR,PO,Y
Aerolineas Argentinas,AR,ARG,ARGENTINA,AR,Y
Arrowhead Airways,\N,ARH,ARROWHEAD,US,N
Aero Vics,\N,ARI,AEROVICS,MX,N
Antillana De Navegacion Aerea,\N,SUN,\N,DR,N
Aeroservicios De San Luis,\N,SUO,SERVICIO SANLUIS,MX,N
Aerosuper,\N,SUP,AEROSUPER,MX,N
Aero Link Air Services S.L.,\N,ARK,LINK SERVICE,SP,N
Airlec - Air Aquitaine Transport,\N,ARL,AIRLEC,FR,N
Aeromarket Express,\N,ARM,AMEX,SP,N
Arrow Aviation Ltd.,\N,ARO,ARROW,CA,N
RPA-Aviataxi Ltd.,\N,ARP,\N,RS,N
Air Klaipeda,\N,KLD,AIR KLAIPEDA,LH,N
Air Armenia,QN,ARR,AIR ARMENIA,AM,N
Aeromet Servicios,\N,ARS,METSERVICE,CI,N
Aerotal Aerolineas Territoriales de Colombia Ltda,\N,ART,AEROTAL,CO,N
Aravco Ltd.,\N,ARV,ARAVCO,UK,N
Aria,\N,ARW,ARIABIRD,FR,N
Airline Alania,\N,OST,ALANIA,RS,N
Air Tchad,\N,HTT,HOTEL TANGO,CD,N
Aerloineas de Techuacan,\N,HUC,LINEAS TEHUACAN,MX,N
Aerotransportes Huitzilin,\N,HUT,AEROHUITZILIN,MX,N
Aero Transportes Del Humaya,\N,HUY,AERO HUMAYA,MX,N
Argosy Airways,\N,ARY,GOSEY,US,N
Air Resorts,\N,ARZ,AIR RESORTS,US,N
Air-Spray 1967 Ltd.,\N,ASB,AIR SPRAY,CA,N
Air Star Corporation,\N,ASC,AIR STAR,CA,N
Air Sinai,4D,ASD,AIR SINAI,EG,Y
Airstars,PL,ASE,MOROZOV,RS,N
African Star Airways (PTY) Ltd.,\N,ASG,AFRICAN STAR,SF,N
Air Satellite,\N,ASJ,SATELLITE,CA,N
Awesome Flight Services (PTY) Ltd.,\N,ASM,AWESOME,SF,N
Air and Sea Transport,\N,ASN, ,RS,N
Aero Slovakia,\N,ASO,AERO NITRA,LO,N
Airsprint,\N,ASP,AIRSPRINT,CA,N
Atlantic Southeast Airlines,EV,ASQ,ACEY,US,Y
Aerlineas Del Oeste,\N,AST,AEROESTE,MX,N
Aviones Are,\N,NRE,AVIONES ARE,MX,N
Air Nepal International,\N,NPL,AIR NEPAL,NP,N
Air Napier,\N,NPR,\N,NZ,N
Air Taxi & Cargo,\N,WAM,TAXI CARGO,SU,N
Arrow Panama,\N,WAP,ARROW PANAMA,PM,N
Astravia-Bissau Air Transports Ltd.,\N,ASV,ASTRAVIA,PU,N
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,RS,Y
Air Transport Association,\N,ATA,\N,US,N
Atlantair Ltd.,\N,ATB,STARLITE,CA,N
Air Tanzania,TC,ATC,TANZANIA,TZ,Y
Aerotours Dominicana,\N,ATD,AEROTOURS,DR,N
Aerotrans Airline,\N,ATG,BACHYT,KZ,N
Air Charter World,\N,XAC,\N,US,N
Air Burkina,2J,VBW,BURKINA,UV,Y
Air Travel Corp.,\N,ATH,AIR TRAVEL,US,N
Aero-Tropics Air Services,HC,ATI,\N,AS,N
Air Traffic GmbH,\N,ATJ,SNOOPY,GM,N
AeroTACA,\N,ATK,AEROTACA,CO,N
Aerocentral,\N,ATL,CENTRALMEX,MX,N
Airlines Of Tasmania,FO,ATM,AIRTAS,AS,Y
Air Saint Pierre,PJ,SPM,\N,FR,Y
Air Transport International,8C,ATN,AIR TRANSPORT,US,N
ASTRAL Colombia - Aerotransportes Especiales Ltda.,\N,ATP,ASTRAL,CO,N
Air Transport Schiphol,\N,ATQ,MULTI,NL,N
Aeroferinco,\N,FEO,FERINCO,MX,N
Aero Taxis Y Servicios Alfe,\N,FES,AERO ALFE,MX,N
Avialesookhrana,\N,FFA,AVIALESOOKHRANA,RS,N
Africair Service,\N,FFB,FOXTROT FOXTROT,SG,N
Atlas Airlines,\N,ATR,ATLAS-AIR,US,N
Air Transport Service,\N,ATS,\N,CF,N
Aer Turas,\N,ATT,AERTURAS,EI,N
Atlant Aerobatics Ltd.,\N,ATU,ATLANT HUNGARY,HU,N
Avanti Air,\N,ATV,AVANTI AIR,GM,N
Aero Trades (Western) Ltd.,\N,ATW,AERO TRADES,CA,N
Austrian Airlines,OS,AUA,AUSTRIAN,AU,Y
Air Southwest,\N,WOW,SWALLOW,UK,Y
Augsburg Airways,IQ,AUB,AUGSBURG-AIR,GM,Y
Air Corporate,\N,CPV,AIRCORPORATE,IT,N
Aviastar-Tu,\N,TUP,TUPOLEVAIR,RS,N
AirBridge Cargo,RU,ABW,AIRBRIDGE CARGO,RS,N
ATUR,\N,TUR,\N,EC,Y
ATESA Aerotaxis Ecuatorianos,\N,TXU,ATESA,EC,N
Austin Express,\N,TXX,COWBOY,US,N
Augusta Air Luftfahrtunternehmen,\N,AUF,AUGUSTA,GM,N
Abu Dhabi Amiri Flight,MO,AUH,SULTAN,AE,Y
Aeroflot-Nord,5N,AUL,DVINA,RS,Y
Air Atlantic Uruguay,\N,AUM,ATLAMUR,UY,N
Aviones Unidos,\N,AUN,AVIONES UNIDOS,MX,N
Avia Business Group,\N,AUP,\N,RS,N
Aero Servicios Expecializados,\N,SVE,AEROESPECIAL,MX,N
Aurigny Air Services,GR,AUR,AYLINE,UK,Y
Aus-Air,NO,AUS,\N,AS,N
